mes,ano,numerodias,alturamediaanterior,mstotalanterior,mstotal,tmin,dptmin,vartmin,tmed,dptmed,vartmed,tmax,dptmax,vartmax,umidade,dpumidade,varumidade,velocidadevento,dpvelocidadevento,varvelovidadevento,radiacaosolar,dpradiacaosolar,varradiacaosolar,chuva,dpchuva,varchuva,somatermica,dpsomatermica,varsomatermica,def,dpdef,vardef,exc,dpexc,varexc,TA
4,2018,33,22.13,5671.10,5300.82,17.04,2.42,5.85,23.01,2.80,7.86,26.48,3.28,10.75,69.01,10.78,116.18,3.57,1.32,1.75,532.76,5.27,27.75,91.40,8.44,71.17,399.85,2.43,5.89,55.38,1.30,1.69,0.00,0.00,0.00,0.00
6,2018,44,4.98,1413.46,5495.00,13.62,5.03,25.31,17.57,4.72,22.27,19.83,4.95,24.48,74.97,12.07,145.57,3.44,1.51,2.29,438.41,4.48,20.08,62.40,5.40,29.20,410.25,3.82,14.60,39.83,0.81,0.65,0.00,0.00,0.00,92.76
7,2018,35,24.66,5536.92,3296.80,8.24,4.22,17.79,12.69,3.82,14.61,15.32,4.45,19.81,78.54,11.34,128.58,3.24,1.21,1.46,297.25,4.50,20.29,56.00,4.15,17.20,156.40,2.84,8.08,14.25,0.43,0.18,0.00,0.00,0.00,0.00
8,2018,38,22.19,3606.58,4359.17,9.45,3.73,13.92,13.72,4.13,17.06,16.24,4.71,22.17,77.14,11.51,132.39,4.00,1.00,1.00,388.00,5.72,32.73,75.40,5.59,31.30,206.90,3.32,11.01,0.15,0.02,0.00,69.97,5.52,30.52,19.81
10,2018,45,16.14,1778.97,2512.71,12.53,4.04,16.36,16.95,4.20,17.66,19.70,4.60,21.15,75.31,13.41,179.87,4.71,1.69,2.85,614.91,7.07,50.03,207.40,10.94,119.59,390.25,3.38,11.45,27.32,0.87,0.76,138.47,9.68,93.75,16.31
11,2018,32,19.44,2451.90,3614.89,13.79,2.95,8.69,19.35,1.85,3.43,25.84,3.13,9.77,72.74,6.06,36.67,2.52,1.15,1.33,182.00,8.18,66.98,12.60,4.41,19.48,68.70,2.33,5.43,2.43,0.30,0.09,3.05,1.15,1.33,36.34
12,2018,35,25.00,3241.02,4232.72,15.15,3.96,15.67,20.77,3.04,9.24,27.12,3.33,11.10,64.80,10.79,116.51,3.68,1.16,1.34,947.13,8.39,70.34,97.80,8.12,65.90,400.80,3.20,10.26,56.84,1.13,1.28,28.13,3.28,10.78,28.33
1,2019,35,34.51,5671.10,6414.98,18.69,2.26,5.09,23.26,2.42,5.83,29.08,3.75,14.03,77.49,10.31,106.21,3.58,1.03,1.07,763.91,9.85,96.95,395.80,29.10,846.82,499.90,2.47,6.09,38.69,1.26,1.58,245.86,25.47,648.49,21.25
2,2019,35,14.58,2343.38,6030.68,18.73,3.52,12.37,23.12,3.01,9.09,28.83,3.38,11.44,77.40,7.37,54.25,3.60,1.09,1.18,815.47,7.74,59.92,215.80,15.77,248.70,496.10,3.12,9.72,28.96,0.83,0.69,130.66,14.39,207.10,105.35
4,2019,51,39.49,5671.10,6414.98,15.54,3.77,14.19,21.08,3.26,10.61,27.93,3.67,13.47,72.97,8.56,73.24,3.10,0.97,0.95,1032.58,6.38,40.68,65.20,3.33,11.06,610.35,3.39,11.49,106.22,1.05,1.09,0.00,0.00,0.00,14.59
6,2019,64,27.28,4487.97,3996.62,12.52,3.87,14.96,16.75,3.06,9.36,22.20,3.38,11.45,82.89,6.80,46.19,3.28,1.19,1.41,684.61,4.70,22.08,204.60,6.50,42.27,478.40,3.25,10.57,20.97,0.57,0.33,100.58,4.56,20.81,0.00
7,2019,25,17.43,2506.10,2027.14,9.46,7.05,49.70,14.46,5.96,35.50,19.77,6.43,41.32,73.34,8.68,75.35,3.87,1.41,1.98,274.82,3.45,11.89,24.00,3.38,11.43,119.95,6.56,42.99,8.79,0.22,0.05,0.00,0.00,0.00,0.00
8,2019,36,20.45,2225.24,3296.80,8.39,4.01,16.06,12.88,3.41,11.61,18.19,4.10,16.83,79.07,11.62,134.94,3.71,1.37,1.88,367.50,6.09,37.08,226.60,12.26,150.39,121.75,3.49,12.18,7.55,0.32,0.10,172.03,11.71,137.24,29.77
8,2014,50,5.75,776.38,1647.28,10.00,5.31,28.15,13.99,4.52,20.43,18.13,4.12,16.95,78.07,8.08,65.29,2.64,2.09,4.35,437.70,4.81,23.14,276.40,12.74,162.35,314.40,3.36,11.26,3.02,0.07,0.00,216.81,10.71,114.76,17.42
